apple; la manzana
book; el libro
house; la casa
table; la mesa
chair; la silla
car; el coche
dog; el perro
cat; el gato
tree; el árbol
water; el agua
window; la ventana
door; la puerta
street; la calle
city; la ciudad
country; el país
school; la escuela
teacher; el maestro
student; el estudiante
pencil; el lápiz
notebook; el cuaderno
paper; el papel
phone; el teléfono
television; la televisión
computer; la computadora
watch; el reloj
clock; el reloj
shoe; el zapato
shirt; la camisa
pants; los pantalones
jacket; la chaqueta
hat; el sombrero
glove; el guante
suitcase; la maleta
backpack; la mochila
bag; la bolsa
key; la llave
lock; la cerradura
ball; la pelota
toy; el juguete
game; el juego
music; la música
song; la canción
guitar; la guitarra
piano; el piano
drum; el tambor
flute; la flauta
violin; el violín
band; la banda
movie; la película
actor; el actor
actress; la actriz
director; el director
script; el guion
scene; la escena
camera; la cámara
photo; la foto
picture; la imagen
painting; la pintura
art; el arte
museum; el museo
gallery; la galería
restaurant; el restaurante
food; la comida
drink; la bebida
sandwich; el sándwich
pizza; la pizza
pasta; la pasta
soup; la sopa
salad; la ensalada
dessert; el postre
ice cream; el helado
chocolate; el chocolate
fruit; la fruta
vegetable; la verdura
meat; la carne
chicken; el pollo
beef; la carne de res
fish; el pescado
bread; el pan
cheese; el queso
butter; la mantequilla
milk; la leche
juice; el jugo
tea; el té
coffee; el café
wine; el vino
beer; la cerveza
cocktail; el cóctel
tablecloth; el mantel
plate; el plato
cup; la taza
glass; el vaso
fork; el tenedor
knife; el cuchillo
spoon; la cuchara
napkin; la servilleta
trash; la basura
trashcan; el basurero
broom; la escoba
vacuum; la aspiradora
mop; el trapeador
soap; el jabón
towel; la toalla
shampoo; el champú
toothbrush; el cepillo de dientes
toothpaste; la pasta de dientes
razor; la navaja
comb; el peine
mirror; el espejo
hair; el cabello
face; la cara
hand; la mano
arm; el brazo
leg; la pierna
foot; el pie
eye; el ojo
ear; la oreja
nose; la nariz
mouth; la boca
tooth; el diente
tongue; la lengua
heart; el corazón
brain; el cerebro
lung; el pulmón
stomach; el estómago
liver; el hígado
kidney; el riñón
skin; la piel
bone; el hueso
blood; la sangre
cough; la tos
fever; la fiebre
headache; el dolor de cabeza
cold; el resfriado
flu; la gripe
illness; la enfermedad
medicine; la medicina
doctor; el doctor
nurse; la enfermera
hospital; el hospital
clinic; la clínica
pharmacy; la farmacia
prescription; la receta
injection; la inyección
surgery; la cirugía
patient; el paciente
operation; la operación
injury; la herida
accident; el accidente
ambulance; la ambulancia
police; la policía
firefighter; el bombero
lawyer; el abogado
judge; el juez
court; el tribunal
prison; la prisión
jail; la cárcel
crime; el crimen
law; la ley
rule; la regla
penalty; la pena
tax; el impuesto
government; el gobierno
president; el presidente
election; la elección
vote; el voto
citizen; el ciudadano
country; el país
war; la guerra
peace; la paz
flag; la bandera
anthem; el himno
army; el ejército
soldier; el soldado
weapon; el arma
battle; la batalla
victory; la victoria
defeat; la derrota
conflict; el conflicto
peacekeeper; el pacificador
revolution; la revolución
movement; el movimiento
change; el cambio
dream; el sueño
hope; la esperanza
idea; la idea
thought; el pensamiento
opinion; la opinión
belief; la creencia
theory; la teoría
philosophy; la filosofía
psychology; la psicología
religion; la religión
science; la ciencia
technology; la tecnología
math; las matemáticas
physics; la física
chemistry; la química
biology; la biología
history; la historia
